------------------------------------------------------------------------------------
Date: 4/3/2024 -- 22:32:13 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 16382
decoder.bytes                                 | Total                     | 12197786
decoder.ipv4                                  | Total                     | 13887
decoder.ipv6                                  | Total                     | 1196
decoder.ethernet                              | Total                     | 16382
decoder.arp                                   | Total                     | 1279
decoder.unknown_ethertype                     | Total                     | 20
decoder.tcp                                   | Total                     | 11082
tcp.syn                                       | Total                     | 88
tcp.synack                                    | Total                     | 83
tcp.rst                                       | Total                     | 27
decoder.udp                                   | Total                     | 3520
decoder.icmpv4                                | Total                     | 1
decoder.icmpv6                                | Total                     | 403
decoder.avg_pkt_size                          | Total                     | 744
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 920
flow.tcp                                      | Total                     | 111
flow.udp                                      | Total                     | 753
flow.icmpv6                                   | Total                     | 56
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
decoder.event.ipv4.opt_pad_required           | Total                     | 67
decoder.event.ipv6.zero_len_padn              | Total                     | 108
flow.wrk.flows_evicted_needs_work             | Total                     | 34
flow.wrk.flows_evicted_pkt_inject             | Total                     | 53
flow.wrk.flows_evicted                        | Total                     | 87
flow.wrk.flows_injected                       | Total                     | 34
tcp.sessions                                  | Total                     | 78
tcp.ssn_from_pool                             | Total                     | 78
tcp.invalid_checksum                          | Total                     | 129
tcp.segment_from_cache                        | Total                     | 7201
tcp.segment_from_pool                         | Total                     | 92
tcp.stream_depth_reached                      | Total                     | 1
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 46
app_layer.flow.dns_tcp                        | Total                     | 20
app_layer.tx.dns_tcp                          | Total                     | 40
app_layer.flow.quic                           | Total                     | 6
app_layer.tx.quic                             | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 5
app_layer.tx.dhcp                             | Total                     | 277
app_layer.flow.dns_udp                        | Total                     | 13
app_layer.tx.dns_udp                          | Total                     | 26
app_layer.flow.failed_udp                     | Total                     | 729
flow.end.state.new                            | Total                     | 830
flow.end.state.established                    | Total                     | 23
flow.end.state.closed                         | Total                     | 67
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 10
flow.end.tcp_state.closed                     | Total                     | 67
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 7
flow.mgr.flows_notimeout                      | Total                     | 7
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 799
flow.recycler.queue_avg                       | Total                     | 9
flow.recycler.queue_max                       | Total                     | 624
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
